,평점,일시,감상평
0,8,2015.02.26 20:47,노인을 위한 나라는 없다의 하비에르바르뎀 이후에 가장 섬뜻한 또라이연기.. 눈빛이 맛이 갔다
1,7,2015.02.27 23:39,자서전에 안 나오는 성공담.
2,6,2015.02.26 13:48,자영업으로 성공하는게 이렇게 어렵습니다 여러분
3,10,2015.02.26 10:45,제이크 질렌할 연기 지렸다
4,8,2015.02.26 02:42,자극을 원하는 대중과의 사이코패스적인 공생
5,9,2015.02.26 02:39,자본주의에서 승자는 소시오패스이다.
6,8,2015.02.26 13:13,아메리칸드림이 낳은 소시오패스 장그래
7,8,2015.02.26 15:49,무서운 장면이 없이도 무서운 영화.
8,9,2015.02.26 14:37,볼만한 가치가 있는 영화...제이크 질렌할의 대표작중 하나가 될듯
9,9,2015.02.26 19:45,르네루스와의 식사씬에 제이크 질렌할 연기는 내가 본중 최고인듯
10,5,2015.02.26 20:43,소시오패스의 창업성공기
11,10,2015.02.28 00:10,열정페이의 마지막은 총알이라는 점이 인상적이네요. 해고된 빈자리는 다른 인턴으로 즉시 대체합니다.
12,9,2015.02.26 12:34,멕시코 식당에서 제이크 질렌할이 르네루소를 반강제적으로 자기 뜻에 따르게 만드는 장면의 연기와 연출이 감미롭다.
13,7,2015.03.03 04:01,연기지린다 진짜 ㅋㅋㅋ 질렌할 눈도 큰데 흰자가 너무 많음 ㅋㅋ 눈보고 있으면 진짜 또라인줄... 막판 하이라이트 굿
14,10,2015.02.26 19:47,"정작 저지르는 당사자는 전혀 느끼지 않지만, 보는 사람이 죄책감을 다 느끼게 만드는, 유쾌하기까지한 제이크 길렌홀의 연기. 영화는 그가 연기한 루이스처럼 명쾌하고도 마치 이게 당연하다는것처럼  그렇게 끝을 맺는다. 별 다섯개!!! "
15,10,2015.02.26 14:46,도덕과 윤리적을 뺀 프로페셔널한 임무완수
16,10,2015.03.03 16:55,제이크 질렌할의 이런 또라이 연기를 볼 수가 있다니...보는 내내 조마 조마했다.
17,7,2015.02.28 18:26,비인간적인 언론을 만들어 낸 건 결국 자극적인 걸 좋아하는 일반시청자들.
18,10,2015.02.26 12:29,"아, 간만에 재밌게 봤네"
19,9,2015.02.27 10:46,내용도 내용이지만 주인공의 상황에 따른 태세변환과 말의 표현력에 대해서 생각하고 보면 더 재밌는 영화.
20,9,2015.03.01 00:35,"정치적, 사회적 생활속에서 싸이코패스가 성공하는 이유를 이제야 알 것 같다. 제이크  눈빛 연기는 아직도 잊혀지지가 않는다."
21,10,2015.03.12 16:09,지리는 사이코연기...
22,9,2015.03.13 12:50,어쩜 눈을 깜빡이지도 않을까  연기 대박
23,10,2015.02.26 15:57,정말 괜찮은 영화.  소름끼치는 연기.
24,9,2015.02.26 20:11,"제이크 질렌할의 연기, 작품의 임팩트"
25,8,2015.03.09 00:02,"제이크 질렌할이 모든 걸 이끌고 마무리지은 엄청난 스릴러 영화다. 눈빛과 연기력, 말투, 행동 모든게 질렌할이 독하게 연기한다"
26,9,2015.02.26 08:17,구성원 사이에 교묘히 숨어있는 소시오패스들을 잘 표현한 영화이다 제이크 질렌할 유리깰때 진짜 소시오패시인줄...
27,9,2015.02.26 22:45,"단연코, &#39;이다&#39;와 함께, 2월 최고의 걸작 중 하나.. TV라는 매체를 중심으로한 다양한 인물들의 그릇된 욕망들을 보여주면서, 탄탄한 시나리오와 명대사가 즐비하는 영화다. &#39;재미&#39;와 &#39;작품성&#39;을 동시에 손에 넣은 수작영화.. "
28,9,2015.02.27 22:07,간만에 스릴러 제대로 된거 봤네요. 제이크질레한 연기파 배우구나...
29,10,2016.01.01 23:30,와 진짜 생긴거부터 걸음걸이 행동거지 말투하나하나까지 싸이코패스같음 연기 진짜잘한다 이사람이 페르시아의왕자라고 절대생각못했음
30,7,2015.03.06 17:20,잔인한 장면없이 잔인하다 보는사람은 잔인함을 느끼는데저지르는자는 담담하고 꾸밈없으며 대담하게 행동하는점이 더 잔인하다
31,8,2015.03.02 05:11,제이크 질렌할 신기한게 매번 이전작 무슨배역이였는지 잊게 만들정도로 새로운 분위기를 풍긴다...(문제없는 평점인데 왜 삭제한거야)
32,8,2015.03.02 17:09,다른 인간과의 교류 없이 인터넷으로 모든 것을 배운 남자가 못 배운 것은 윤리였나. 타인이 없는 인생에 윤리가 끼어들 자리는 없겠지. 제이크 질렌할 때문에 무서워서 죽는 줄 알았다. 갑상선 기능 검사 좀 받아봐라.
33,10,2016.07.16 03:19,연기가 연기가 아닌것같은 리얼 또라이를 봤다ㄷㄷㄷ 그게 연기라는게 더 또라이같음
34,6,2015.03.08 23:59,질렌할. 이제는 믿고 보는 배우
35,8,2016.06.15 00:05,대중의 욕망과 언론의 니즈를 등에 업고 카메라는 총이 된다. 카메라의 shot과 총의 shot이 같음과 카메라를 총처럼 겨누는 주인공 루의 동작은 치명적. 제이크 질렌할의 광기어린 연주가 몰입을 돋운다.
36,10,2015.02.26 16:04,조여오는 긴장감에 몰입해서 볼 수 밖에 없는 영화였다. 이런게 진짜 '영화'라고 생각한다.
37,7,2015.03.01 16:10,돈내고 볼만한영화인거같았다
38,8,2015.02.26 18:59,제이크 질렌할의 눈빛이 너무 섬뜩했음
39,8,2015.02.26 21:55,연기 하나는 그냥 최고다
40,8,2015.05.16 17:29,주인공의 광기어린 연기가 인상깊습니다
41,10,2015.07.21 02:50,제이크 질렌할..넌 대체 못하는 연기가 뭐냐.
42,6,2015.02.26 05:49,현실에서 흔하게 볼 수 있는 인간상 자체가 스릴러다.
43,10,2016.06.29 03:24,허.. 진짜 이런 장르 안좋아하는데 숨도 안쉬고 본듯..또라이연기 정말 제이크질렌할이였나 이사람 따라갈 자가 없는듯.. 그 세세한 눈빛연기.. 진짜 저 사람 성격이 저런 또라이일거라는 생각이 들정도로..
44,8,2015.02.26 20:25,'뉴스'와 '협상'을 통해 짚어본 개인과 집단의 광기
45,8,2015.03.02 19:12,꽤 집중해서 본영화 같네요
46,8,2015.03.02 18:43,잔인함 없이 배우와 촬영기술적인 분위기로  관람객을  소름끼치게 만드는 감독과 배우들에 연기가 돋보인다.
47,10,2016.05.10 02:07,제이크 질렌할 진짜 미친놈같다.
48,9,2015.03.02 05:16,소시오패스의 전형을 제대로 보여준 루( 제이크 질렌할)의 모습은  압권이었다.
49,8,2015.02.28 21:02,자본주의와 황색 헐리우드에 대한 조롱
50,8,2015.03.01 23:58,"마지막 마무리가 아쉬워, 아니 저럴 집념으로 범인 잡으면 경찰로도 성공하고 뭐든 성공할거 같은데 결단력도 좋고 머리도 잘돌아가고, 뭐든 빨리배운다고 했으니.. 모순이 쫌 많아 이런사람이 돈없는 가난뱅이였다니"
51,10,2015.03.03 05:36,★소시오패스를 구별하는 법을 알려주는 영화. 주인공이 이전회사 사장과 비슷한말을 많이해서 놀랐네요. 자신의 목적을 위해서는 수단을 안가리는 소시오패스들이 이 나라의 고위공직과 기업대표 자리에 많이 올라있어 우리나라가 이모양인가보다.풍자성이 훌륭한영화임 
52,7,2019.05.09 21:27,보통 이런 영화는 주인공이 일을 하면서 타락해 가지만 이 영화는 주인공이 원래 타락해 있어서 좀 신선했던거 같음..
53,9,2015.03.02 22:09,그렇게 세상은 법을 어기고 도둑질하며 광적으로 일을 하는사람들의 것이 돼버렸다.. 그냥 영화일뿐이지만 우리나라는 더 심하게 미쳐가고있다..
54,10,2015.03.08 04:21,?브라질의 실화를 바탕으로 했다고 하네요. 소시오패스를 설득하려다 보복당한다는 교훈을 줌. ㅇㅇ사장을 설득하려던 김대리도 결국 잘렸었지..결론은 이 사회 곳곳에 소시오패스가 승승장구 하고있다!
55,10,2018.02.05 18:27,살인을 해야 꼭 사이코패스가 아닌걸 설명해주는 영화
56,6,2015.09.28 05:08,이게 인턴 사원의 비애입니다 여러분
57,8,2015.03.03 14:48,아메리칸 사이코에 이은 아메리칸 소시오패스의 미디어 스타트업 창업성공기.. 대중은 더 큰 자극을 원하고 우리는 그걸 팔아 먹는다.. 미디어의 용인하에 비윤리적으로 생산된 스너프필름을.. 제이크 굿잡! 르네루소 오랜만에 반가운 얼굴! 
58,10,2015.02.26 20:11,흠잡을데 없네.. 몰입감 쩐다 연기력도.. 재미있다 엄청!!
59,9,2015.03.03 10:34,"연기력 하나만으로도 보는 내내 긴장감 넘쳤습니다. 그리고, 미국에 살고싶지 않아요 ㅠㅠ"
60,10,2015.02.26 15:59,사회현실을 꼬집고 연기력이 바탕이되어주는
61,10,2019.04.25 21:15,공포를 가장한 사회 비판적인영화임 인턴이 불쌍한게 아님 보면 부사장 승진시켜주고 월급도 2배 올려준다는데 거기서 만족못하고 욕심내다 죽음
62,9,2018.08.26 21:52,영화 중반부터 질렌할이  방송국 국장인가 뭔가 하는 여자한테 계속 잠자리 요구해서 정사씬 한번은 나오겠구나 했는데 결국 안나오더니 알고보니 감독이 남편이였네
63,9,2015.03.07 17:36,성공을 위해 모든짓을 다하는 주인공의 연기가 섬짓하다
64,6,2015.03.11 00:38,아놔 상영관 왜이렇게 없나요? 멀리까지 가서 심야영화 보고 왔네. 제이크 질할렌이 정말 미친건 아닐까 의심이 들 정도의 연기. 그러나 스팩타클한 액션과 서스팬스를 기대하면 안됨. 심리묘사에 중점을 두고 끌고가는 영화 
65,8,2015.03.12 18:08,"제이크 연기 대단하네. 혐오스런 연기에 정말 혐오스러웠다. 엔딩이 올라 올때 ""오 마이 갓! 이럴수가!"
66,10,2019.06.13 02:26,다보고 감탄함 ㅋㅋ 이게 영화지 ㅋㅋ 쫄깃하잖아 ㅋㅋ 주인공도 그렇지만 뉴스 총잭임자인가 여자도 소시오패스 기질 있다 ㅋㅋ
67,10,2016.12.07 00:42,제이크질렌할 무섭다 진짜 저런사람같네 ㅋㅋ 연기가 아니라 실제같다
68,7,2015.09.24 14:49,그러니까 이게다 '비정규직' 문제라니깐
69,9,2015.02.26 15:53,오~ 제이크 질렌할 굿굿
70,9,2017.07.12 13:18,각본이 아무리 좋아도 연기하는 배우가 못따라가면 영화가 그저그런 수준밖에 안되는데 질렌할은 본인 혼자서 모든 걸 끌고간다. 정말 대단한 배우라고 생각함.
71,10,2016.11.05 05:10,전형적인 사이코패스의 이기심
72,8,2015.04.19 01:01,"나는 섬뜩함을 느끼면서도, 숨죽이고 블룸 따라가고 있자면, 모든게 합리적이고 정상인 것처럼 느껴졌다."
73,9,2015.03.02 23:35,주인공 연기 지립니다.... 재밌게 봤습니다
74,10,2015.05.21 10:30,스릴만점의 영화 재미있었다
75,10,2019.07.07 01:09,평점이 낮은 이유를 모르겠네요 진짜 제이크 질렌할의 역대급 연기력인데ㄷㄷ
76,10,2019.07.04 12:05,진짜 존나재밋자....
77,10,2019.05.29 18:57,처음 아주 약간 지루한거만 참으면 개쫀득한 영화 // 질렌할의 연기가 매우 좋다.
78,10,2019.05.28 15:19,평점이 왜이래 낮아 이정도면 상당한 수작이다
79,8,2018.11.06 12:46,이제는 클리셰가 되어버린 ‘싸이코패스’ 연쇄살인마 캐릭터의 홍수 속에서 현실에 있을 법한 진짜 ‘소시오패스’의 모습. 제이크 질렌할이 이렇게 연기를 잘 했었나...
80,10,2018.01.26 04:36,잼있는데 엄청 평점 왜이러냐jQuery22406997377336308329_1516908956231? 한국 감성팔이 영화보가 훨신 질만듬
81,7,2017.11.08 19:59,그 흔한 권선징악 이 없다는 자체로 리얼리티가 확 오르는게 느껴짐..
82,6,2017.10.20 10:50,주인공의 눈 때문에 영화가 공포스럽기는 처음..말로만 듣던 사백안의 눈...후덜덜.
83,10,2017.03.05 08:45,연기 진짜 개미쳤네...
84,8,2017.02.28 03:51,진짜 신기한게 첨 질렌할 나왔을 때 부터 뭔가 공허한 느낌이 드는데 싸이코패스였네..저런 연기는 어떻게 하냐?
85,10,2016.11.25 18:40,다른유형의 싸이코패스  지루할틈이없는 영화
86,10,2016.09.19 22:25,진짜 또라이. 진짜 또라이.
87,8,2016.07.27 00:05,영화작품자체로는 평점을 높게 주고 싶지만 개인적으로 아주 기분 드러워지는 영화
88,10,2016.02.25 22:44,마지막  장면의 주인공의 성공은 현 사회의 냉혹함을 그대로 전달한다죄책감도  모르는  성공시대의  자화상들  말이다
89,10,2018.02.14 15:47,"개인적으로 파이트클럽,유주얼서스팩트급 명작이라 생각함."
90,8,2015.03.08 09:33,재미있는데 너무 찝찝한 결말
91,8,2015.03.02 22:51,아주 볼만한 영화임! 그레이뭐시기 안보고 상영관이 작더라도 이영화 보길 진짜 잘했음. 이런 영화가 홍보가 덜되서 상영관도 별로 없고 다른 관객들이 모른다는게 안타까울뿐.. 제이크질렌할 연기력도 새삼 다시 봤음b
92,8,2015.03.01 23:52,제이크질렌할의 눈빛연기는정말..하지만 결말이 다소 허무..ㅠ
93,10,2019.11.09 23:58,소오름...  솔직히 조커보다 나은듯 하다.  조커는 뭔가 그렇게 될 수밖에 없었던 나름의 정당성이 부여된 사이코패스라면 루(제이크 질렌할)은 그냥 진짜 사이코패스다.  제이크가 그냥 잘 생긴 배우가 아님을 증명한 영화 같다. 
